lambda,k,sigma,brier_score,ranked
10,0.04,40,0.1794426521920607,1
8,0.04,40,0.1794945790897566,2
6,0.04,40,0.1795782155422258,3
5,0.04,40,0.17963806903521676,4
4,0.04,40,0.17971494954648307,5
3,0.04,40,0.17981515024586117,6
10,0.04,35,0.17989276504900184,7
2,0.04,40,0.17995023611260907,8
8,0.04,35,0.1799527346346662,9
6,0.04,35,0.18005018302372677,10
5,0.04,35,0.1801203864771886,11
4,0.04,35,0.18021102647394696,12
3,0.04,35,0.18032981330810002,13
2,0.04,35,0.18049080745824297,14
10,0.04,30,0.18061816868777855,15
8,0.04,30,0.180687313424477,16
6,0.04,30,0.18080107196229872,17
5,0.04,30,0.1808836932506773,18
4,0.04,30,0.18099096236923196,19
3,0.04,30,0.1811323320519159,20
2,0.04,30,0.18132497583110097,21
10,0.06,40,0.18170818840065472,22
8,0.06,40,0.18179602902009745,23
10,0.04,25,0.18181418119494563,24
8,0.04,25,0.1818926270504391,25
6,0.06,40,0.18194164414804892,26
6,0.04,25,0.18202420969614522,27
5,0.06,40,0.18204856395324762,28
5,0.04,25,0.18212082485967324,29
4,0.06,40,0.18218903214184315,30
4,0.04,25,0.18224707551431538,31
3,0.06,40,0.18237700520304787,32
3,0.04,25,0.18241446070004713,33
2,0.06,40,0.18263752769721278,34
2,0.04,25,0.18264395206542883,35
10,0.06,35,0.182952437673425,36
8,0.06,35,0.1830505229866814,37
6,0.06,35,0.18321542892497605,38
5,0.06,35,0.18333758081794474,39
4,0.06,35,0.18349898763495512,40
3,0.06,35,0.18371621039525038,41
10,0.04,20,0.18385127526886105,42
8,0.04,20,0.18393565261087297,43
2,0.06,35,0.18401898576129772,44
6,0.04,20,0.18408231861890287,45
5,0.04,20,0.18419188211450166,46
4,0.04,20,0.18433629667681103,47
3,0.04,20,0.184529188035985,48
2,0.04,20,0.18479593003262568,49
10,0.06,30,0.18480105319413506,50
8,0.06,30,0.18490851408529477,51
6,0.06,30,0.1850931126274261,52
10,0.08,40,0.18521698255424077,53
5,0.06,30,0.1852315195405704,54
8,0.08,40,0.1853357722209959,55
4,0.06,30,0.185415738688668,56
6,0.08,40,0.18553881793802285,57
3,0.06,30,0.1856653722355011,58
5,0.08,40,0.1856911799807449,59
4,0.08,40,0.18589462354813996,60
2,0.06,30,0.18601582564952723,61
3,0.08,40,0.18617167813408708,62
2,0.08,40,0.18656273884697183,63
10,0.08,35,0.18743292772745326,64
10,0.04,15,0.1874669300326619,65
8,0.04,15,0.18754376205346576,66
8,0.08,35,0.18755946806213547,67
10,0.06,25,0.1876273237714164,68
6,0.04,15,0.18768949202121094,69
8,0.06,25,0.18773953925039222,70
6,0.08,35,0.18778076933573892,71
5,0.04,15,0.18780229971033835,72
6,0.06,25,0.18793966734498485,73
5,0.08,35,0.18794894091398903,74
4,0.04,15,0.1879532816541321,75
5,0.06,25,0.1880926020798992,76
3,0.04,15,0.18815752086687532,77
4,0.08,35,0.1881751812081209,78
4,0.06,25,0.1882982935309552,79
2,0.04,15,0.18844503200667148,80
3,0.08,35,0.18848547127130183,81
3,0.06,25,0.1885796985106661,82
2,0.08,35,0.18892674538523335,83
2,0.06,25,0.18897893992996287,84
10,0.1,40,0.18961338541032785,85
8,0.1,40,0.18975169435764622,86
6,0.1,40,0.18999725730861208,87
5,0.1,40,0.19018574628492757,88
4,0.1,40,0.19044117392872534,89
10,0.08,30,0.19058812237022207,90
8,0.08,30,0.1907171312573203,91
3,0.1,40,0.19079425959871443,92
6,0.08,30,0.19095148141092155,93
5,0.08,30,0.1911330349592392,94
2,0.1,40,0.19130065906299326,95
4,0.08,30,0.19137990991184642,96
3,0.08,30,0.19172187690185621,97
10,0.06,20,0.19209788616429846,98
8,0.06,20,0.1922012098473867,99
2,0.08,30,0.19221351733845468,100
6,0.06,20,0.19240109991947218,101
5,0.06,20,0.19255951613352218,102
4,0.06,20,0.19277652795395334,103
10,0.1,35,0.19284288810016378,104
8,0.1,35,0.19298119874058028,105
3,0.06,20,0.19307834531591145,106
6,0.1,35,0.1932363387523954,107
5,0.1,35,0.19343596438105057,108
2,0.06,20,0.19351482061948783,109
4,0.1,35,0.19370936937643154,110
3,0.1,35,0.19409103794005628,111
10,0.12,40,0.1945774230607499,112
2,0.1,35,0.19464435598656266,113
8,0.12,40,0.19472059770204947,114
